# docs/Project58/asserts.tsv — every string count operand NOT proven non-negative by construction,
# with the exact IR assert that discharges it at runtime.  Emit it immediately BEFORE the statement
# (same block; the count expression is evaluated in the statement's own context, IR.md 5.8).
# tier: base-class = a varying read (count = length word at A, data at A+1); cond = non-negative iff the
#       named length word(s) are; guard = proven by a dominating guard (no assert NEEDED, listed for completeness);
#       unknown = the tool could not decide (arithmetic / opaque / interprocedural); the assert still discharges it;
#       invariant (a005) = proven by dataflow: the count is a frame slot's length word (or C - it) and every writer of
#       that slot in the routine keeps it in [0, C] (literal assignments, the clamped append min(len+k, C)); no assert NEEDED;
#       derived (a004) = built from base-class length words by +, x, min/max: covered by the ROOT site's assert(s)
#       named in the root column (block:stmt role), which dominate it with the length word unchanged between.
# pc	block	stmt	op	routine	role	class	tier	needed	root	assert
7015C0AD	7015C0A3	0	WCMP	QUEST	s1/ac1	varying	guard	no		assert((sx16(M16[0x7000021C])) >=s 0, "P58 guard s1-ac1 @7015C0AD")
7015CAD6	7015CA99	29	WCMV	ALCHEMIST_HOME	dst/ac0	register	derived	no	7015CA99:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CAD6")
7015CAD6	7015CA99	29	WCMV	ALCHEMIST_HOME	src/ac1	register	derived	no	7015CA99:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015CAD6")
7015CB46	7015CB0B	17	WCMV	ALCHEMIST_HOME	dst/ac0	register	derived	no	7015CB0B:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CB46")
7015CB46	7015CB0B	17	WCMV	ALCHEMIST_HOME	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @7015CB46")
7015CB46	7015CB0B	23	WCMV	ALCHEMIST_HOME	dst/ac0	register	derived	no	7015CB0B:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CB46")
7015CB46	7015CB0B	23	WCMV	ALCHEMIST_HOME	src/ac1	register	derived	no	7015CB0B:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015CB46")
7015CB46	7015CB0B	30	WCMV	ALCHEMIST_HOME	dst/ac0	register	derived	no	7015CB0B:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CB46")
7015CB46	7015CB0B	30	WCMV	ALCHEMIST_HOME	src/ac1	register	derived	no	7015CB0B:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015CB46")
7015CB51	7015CB0B	32	WCMV	ALCHEMIST_HOME	dst/ac0	lenload-expr	derived	no	7015CB0B:32 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 derived dst-ac0 @7015CB51")
7015CB51	7015CB0B	32	WCMV	ALCHEMIST_HOME	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 5)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 base-class src-ac1 @7015CB51")
7015CB5C	7015CB0B	37	WCMV	ALCHEMIST_HOME	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @7015CB5C")
7015CB5C	7015CB0B	37	WCMV	ALCHEMIST_HOME	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @7015CB5C")
7015CE74	7015CE51	13	WCMV	ALCHEMIST_HOME.1@7015CC78	dst/ac0	lenload-expr	derived	no	7015CE51:13 src/ac1	assert((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 5)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 derived dst-ac0 @7015CE74")
7015CE74	7015CE51	13	WCMV	ALCHEMIST_HOME.1@7015CC78	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 5)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 base-class src-ac1 @7015CE74")
7015CE7D	7015CE51	15	WCMV	ALCHEMIST_HOME.1@7015CC78	dst/ac0	expr	derived	no	7015CE51:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 5)]) * 0x10) - 0xFEAFBB8)]) + 0xF)) >=s 0, "P58 derived dst-ac0 @7015CE7D")
7015CE7D	7015CE51	15	WCMV	ALCHEMIST_HOME.1@7015CC78	src/ac1	expr	derived	no	7015CE51:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 5)]) * 0x10) - 0xFEAFBB8)]) + 0xF)) >=s 0, "P58 derived src-ac1 @7015CE7D")
7015CE8E	7015CE51	18	WCMV	ALCHEMIST_HOME.1@7015CC78	dst/ac0	expr	derived	no	7015CE51:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 5)]) * 0x10) - 0xFEAFBB8)]) + 0x23)) >=s 0, "P58 derived dst-ac0 @7015CE8E")
7015CE8E	7015CE51	18	WCMV	ALCHEMIST_HOME.1@7015CC78	src/ac1	expr	derived	no	7015CE51:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 5)]) * 0x10) - 0xFEAFBB8)]) + 0x23)) >=s 0, "P58 derived src-ac1 @7015CE8E")
7015CF16	7015CEE8	17	WCMV	ALCHEMIST_HOME.1@7015CC78	dst/ac0	register	derived	no	7015CEE8:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CF16")
7015CF16	7015CEE8	17	WCMV	ALCHEMIST_HOME.1@7015CC78	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @7015CF16")
7015CF16	7015CEE8	23	WCMV	ALCHEMIST_HOME.1@7015CC78	dst/ac0	register	derived	no	7015CEE8:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CF16")
7015CF16	7015CEE8	23	WCMV	ALCHEMIST_HOME.1@7015CC78	src/ac1	register	derived	no	7015CEE8:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015CF16")
7015CF27	7015CEE8	29	WCMV	ALCHEMIST_HOME.1@7015CC78	dst/ac0	register	derived	no	7015CEE8:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015CF27")
7015CF27	7015CEE8	29	WCMV	ALCHEMIST_HOME.1@7015CC78	src/ac1	register	derived	no	7015CEE8:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015CF27")
7015D131	7015D12A	1	WCMV	ALLY_PLAYER.1@7015D068	dst/ac0	register	guard	no		assert((ac0) >=s 0, "P58 guard dst-ac0 @7015D131")
7015D131	7015D12A	1	WCMV	ALLY_PLAYER.1@7015D068	src/ac1	register	guard	no		assert((ac1) >=s 0, "P58 guard src-ac1 @7015D131")
7015D1C4	7015D1AB	8	WCMV	ALLY_PLAYER.1@7015D068	dst/ac0	lenload-expr	derived	no	7015D1AB:8 src/ac1	assert((sx16(M16[M32[wp(ac3, 0x10)]])) >=s 0, "P58 derived dst-ac0 @7015D1C4")
7015D1C4	7015D1AB	8	WCMV	ALLY_PLAYER.1@7015D068	src/ac1	varying	base-class	yes		assert((sx16(M16[M32[wp(ac3, 0x10)]])) >=s 0, "P58 base-class src-ac1 @7015D1C4")
7015D1CD	7015D1AB	10	WCMV	ALLY_PLAYER.1@7015D068	dst/ac0	expr	derived	no	7015D1AB:8 src/ac1	assert(((sx16(M16[M32[wp(ac3, 0x10)]]) + 6)) >=s 0, "P58 derived dst-ac0 @7015D1CD")
7015D1CD	7015D1AB	10	WCMV	ALLY_PLAYER.1@7015D068	src/ac1	expr	derived	no	7015D1AB:8 src/ac1	assert(((sx16(M16[M32[wp(ac3, 0x10)]]) + 6)) >=s 0, "P58 derived src-ac1 @7015D1CD")
7015D1DB	7015D1AB	14	WCMV	ALLY_PLAYER.1@7015D068	dst/ac0	expr	derived	no	7015D1AB:8 src/ac1	assert(((sx16(M16[M32[wp(ac3, 0x10)]]) + 7)) >=s 0, "P58 derived dst-ac0 @7015D1DB")
7015D1DB	7015D1AB	14	WCMV	ALLY_PLAYER.1@7015D068	src/ac1	expr	derived	no	7015D1AB:8 src/ac1	assert(((sx16(M16[M32[wp(ac3, 0x10)]]) + 7)) >=s 0, "P58 derived src-ac1 @7015D1DB")
7015D1F4	7015D1EA	0	WCMP	ALLY_PLAYER.1@7015D068	s1/ac1	varying	base-class	yes		assert((sx16(M16[R[wp(ac3, 0x10)]])) >=s 0, "P58 base-class s1-ac1 @7015D1F4")
7015D1F4	7015D1EA	0	WCMP	ALLY_PLAYER.1@7015D068	s2/ac0	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x204)])) >=s 0, "P58 base-class s2-ac0 @7015D1F4")
7015D207	7015D1FA	0	WCMP	ALLY_PLAYER.1@7015D068	s1/ac1	varying	base-class	yes		assert((sx16(M16[(M32[wp(ac3, 0x10)] + 0x11)])) >=s 0, "P58 base-class s1-ac1 @7015D207")
7015D207	7015D1FA	0	WCMP	ALLY_PLAYER.1@7015D068	s2/ac0	varying	base-class	yes		assert((sx16(M16[0x7000021C])) >=s 0, "P58 base-class s2-ac0 @7015D207")
7015D94A	7015D94A	0	WCMV	ATTACK	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @7015D94A")
7015D94A	7015D94A	0	WCMV	ATTACK	src/ac1	register	derived	no	residue chain	assert((ac1) >=s 0, "P58 derived src-ac1 @7015D94A")
7015D981	7015D981	0	WCMV	ATTACK	dst/ac0	register	cond	yes		assert((ac0) >=s 0, "P58 cond dst-ac0 @7015D981")
7015D981	7015D981	0	WCMV	ATTACK	src/ac1	register	derived	no	residue chain	assert((ac1) >=s 0, "P58 derived src-ac1 @7015D981")
7015D9DD	7015D9A7	22	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015D9A7:22 src/ac1	assert((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)])) >=s 0, "P58 derived dst-ac0 @7015D9DD")
7015D9DD	7015D9A7	22	WCMV	ATTACK	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)])) >=s 0, "P58 base-class src-ac1 @7015D9DD")
7015D9E6	7015D9A7	24	WCMV	ATTACK	dst/ac0	expr	derived	no	7015D9A7:22 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + 0x17)) >=s 0, "P58 derived dst-ac0 @7015D9E6")
7015D9E6	7015D9A7	24	WCMV	ATTACK	src/ac1	expr	derived	no	7015D9A7:22 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + 0x17)) >=s 0, "P58 derived src-ac1 @7015D9E6")
7015D9F9	7015D9A7	31	WCMV	ATTACK	dst/ac0	expr	derived	no	7015D9A7:22 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @7015D9F9")
7015D9F9	7015D9A7	31	WCMV	ATTACK	src/ac1	expr	derived	no	7015D9A7:22 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + 0x18)) >=s 0, "P58 derived src-ac1 @7015D9F9")
7015DA05	7015D9A7	36	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015D9A7:36 src/ac1	assert((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)])) >=s 0, "P58 derived dst-ac0 @7015DA05")
7015DA05	7015D9A7	36	WCMV	ATTACK	src/ac1	varying	base-class	yes		assert((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)])) >=s 0, "P58 base-class src-ac1 @7015DA05")
7015DA0E	7015D9A7	38	WCMV	ATTACK	dst/ac0	expr	derived	no	7015D9A7:22 src/ac1 & 7015D9A7:36 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @7015DA0E")
7015DA0E	7015D9A7	38	WCMV	ATTACK	src/ac1	expr	derived	no	7015D9A7:22 src/ac1 & 7015D9A7:36 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)]) + 0x18)) >=s 0, "P58 derived src-ac1 @7015DA0E")
7015DA15	7015D9A7	40	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015D9A7:40 src/ac1	assert((sx16(M16[wp(ac3, 0x1A)])) >=s 0, "P58 derived dst-ac0 @7015DA15")
7015DA15	7015D9A7	40	WCMV	ATTACK	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x1A)])) >=s 0, "P58 base-class src-ac1 @7015DA15")
7015DA1E	7015D9A7	42	WCMV	ATTACK	dst/ac0	expr	derived	no	7015D9A7:22 src/ac1 & 7015D9A7:36 src/ac1 & 7015D9A7:40 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x18)) >=s 0, "P58 derived dst-ac0 @7015DA1E")
7015DA1E	7015D9A7	42	WCMV	ATTACK	src/ac1	expr	derived	no	7015D9A7:22 src/ac1 & 7015D9A7:36 src/ac1 & 7015D9A7:40 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x18)) >=s 0, "P58 derived src-ac1 @7015DA1E")
7015DA2F	7015D9A7	45	WCMV	ATTACK	dst/ac0	expr	derived	no	7015D9A7:22 src/ac1 & 7015D9A7:36 src/ac1 & 7015D9A7:40 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x4D)) >=s 0, "P58 derived dst-ac0 @7015DA2F")
7015DA2F	7015D9A7	45	WCMV	ATTACK	src/ac1	expr	derived	no	7015D9A7:22 src/ac1 & 7015D9A7:36 src/ac1 & 7015D9A7:40 src/ac1	assert(((sx16(M16[((sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] + 0x2A)]) * 0xB) - 0xFEAE09C)]) + sx16(M16[((M32[wp(ac3, 0xA)] * 0x2AE) + M32[0x70000210] - 0x271)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x4D)) >=s 0, "P58 derived src-ac1 @7015DA2F")
7015DA79	7015DA51	15	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015DA51:15 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 derived dst-ac0 @7015DA79")
7015DA79	7015DA51	15	WCMV	ATTACK	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 base-class src-ac1 @7015DA79")
7015DA82	7015DA51	17	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DA51:15 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)]) + 0x15)) >=s 0, "P58 derived dst-ac0 @7015DA82")
7015DA82	7015DA51	17	WCMV	ATTACK	src/ac1	expr	derived	no	7015DA51:15 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)]) + 0x15)) >=s 0, "P58 derived src-ac1 @7015DA82")
7015DA89	7015DA51	19	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015DA51:19 src/ac1	assert((sx16(M16[wp(ac3, 0x1A)])) >=s 0, "P58 derived dst-ac0 @7015DA89")
7015DA89	7015DA51	19	WCMV	ATTACK	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x1A)])) >=s 0, "P58 base-class src-ac1 @7015DA89")
7015DA92	7015DA51	21	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DA51:15 src/ac1 & 7015DA51:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x15)) >=s 0, "P58 derived dst-ac0 @7015DA92")
7015DA92	7015DA51	21	WCMV	ATTACK	src/ac1	expr	derived	no	7015DA51:15 src/ac1 & 7015DA51:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x15)) >=s 0, "P58 derived src-ac1 @7015DA92")
7015DAA3	7015DA51	24	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DA51:15 src/ac1 & 7015DA51:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x57)) >=s 0, "P58 derived dst-ac0 @7015DAA3")
7015DAA3	7015DA51	24	WCMV	ATTACK	src/ac1	expr	derived	no	7015DA51:15 src/ac1 & 7015DA51:19 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 7)]) * 0xC) - 0xFFFFD9A)]) + sx16(M16[wp(ac3, 0x1A)]) + 0x57)) >=s 0, "P58 derived src-ac1 @7015DAA3")
7015DBD8	7015DBBD	12	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015DBBD:12 src/ac1	assert((sx16(M16[((sx16(M16[wp(ac3, 6)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 derived dst-ac0 @7015DBD8")
7015DBD8	7015DBBD	12	WCMV	ATTACK	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[wp(ac3, 6)]) * 0x10) - 0xFEAFBB8)])) >=s 0, "P58 base-class src-ac1 @7015DBD8")
7015DBE1	7015DBBD	14	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DBBD:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 6)]) * 0x10) - 0xFEAFBB8)]) + 1)) >=s 0, "P58 derived dst-ac0 @7015DBE1")
7015DBE1	7015DBBD	14	WCMV	ATTACK	src/ac1	expr	derived	no	7015DBBD:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 6)]) * 0x10) - 0xFEAFBB8)]) + 1)) >=s 0, "P58 derived src-ac1 @7015DBE1")
7015DBEF	7015DBBD	18	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DBBD:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 6)]) * 0x10) - 0xFEAFBB8)]) + 2)) >=s 0, "P58 derived dst-ac0 @7015DBEF")
7015DBEF	7015DBBD	18	WCMV	ATTACK	src/ac1	expr	derived	no	7015DBBD:12 src/ac1	assert(((sx16(M16[((sx16(M16[wp(ac3, 6)]) * 0x10) - 0xFEAFBB8)]) + 2)) >=s 0, "P58 derived src-ac1 @7015DBEF")
7015DFB8	7015DFA0	8	WCMV	ATTACK	dst/ac0	lenload-expr	derived	no	7015DFA0:8 src/ac1	assert((sx16(M16[wp(ac3, 0x32)])) >=s 0, "P58 derived dst-ac0 @7015DFB8")
7015DFB8	7015DFA0	8	WCMV	ATTACK	src/ac1	varying	base-class	yes		assert((sx16(M16[wp(ac3, 0x32)])) >=s 0, "P58 base-class src-ac1 @7015DFB8")
7015DFC1	7015DFA0	10	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DFA0:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x32)]) + 0x10)) >=s 0, "P58 derived dst-ac0 @7015DFC1")
7015DFC1	7015DFA0	10	WCMV	ATTACK	src/ac1	expr	derived	no	7015DFA0:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x32)]) + 0x10)) >=s 0, "P58 derived src-ac1 @7015DFC1")
7015DFD2	7015DFA0	13	WCMV	ATTACK	dst/ac0	expr	derived	no	7015DFA0:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x32)]) + 0x29)) >=s 0, "P58 derived dst-ac0 @7015DFD2")
7015DFD2	7015DFA0	13	WCMV	ATTACK	src/ac1	expr	derived	no	7015DFA0:8 src/ac1	assert(((sx16(M16[wp(ac3, 0x32)]) + 0x29)) >=s 0, "P58 derived src-ac1 @7015DFD2")
7015E155	7015E129	17	WCMV	ATTACK.1@7015E113	dst/ac0	register	derived	no	7015E129:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015E155")
7015E155	7015E129	17	WCMV	ATTACK.1@7015E113	src/ac1	register	base-class	yes		assert((ac1) >=s 0, "P58 base-class src-ac1 @7015E155")
7015E155	7015E129	23	WCMV	ATTACK.1@7015E113	dst/ac0	register	derived	no	7015E129:17 src/ac1	assert((ac0) >=s 0, "P58 derived dst-ac0 @7015E155")
7015E155	7015E129	23	WCMV	ATTACK.1@7015E113	src/ac1	register	derived	no	7015E129:17 src/ac1	assert((ac1) >=s 0, "P58 derived src-ac1 @7015E155")
7015E166	7015E129	29	WCMV	ATTACK.1@7015E113	dst/ac0	register	unknown	yes		assert((ac0) >=s 0, "P58 unknown dst-ac0 @7015E166")
7015E166	7015E129	29	WCMV	ATTACK.1@7015E113	src/ac1	register	unknown	yes		assert((ac1) >=s 0, "P58 unknown src-ac1 @7015E166")
7015E2A9	7015E286	13	WCMV	ATTACK.2@7015E1F1	dst/ac0	lenload-expr	derived	no	7015E286:13 src/ac1	assert((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 7)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 derived dst-ac0 @7015E2A9")
7015E2A9	7015E286	13	WCMV	ATTACK.2@7015E1F1	src/ac1	lenload-expr	base-class	yes		assert((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 7)]) * 0xC) - 0xFFFFD9A)])) >=s 0, "P58 base-class src-ac1 @7015E2A9")
7015E2B2	7015E286	15	WCMV	ATTACK.2@7015E1F1	dst/ac0	expr	derived	no	7015E286:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 7)]) * 0xC) - 0xFFFFD9A)]) + 5)) >=s 0, "P58 derived dst-ac0 @7015E2B2")
7015E2B2	7015E286	15	WCMV	ATTACK.2@7015E1F1	src/ac1	expr	derived	no	7015E286:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 7)]) * 0xC) - 0xFFFFD9A)]) + 5)) >=s 0, "P58 derived src-ac1 @7015E2B2")
7015E2C3	7015E286	18	WCMV	ATTACK.2@7015E1F1	dst/ac0	expr	derived	no	7015E286:13 src/ac1	assert(((sx16(M16[((sx16(M16[(M32[wp(ac3, -0x6)] + 7)]) * 0xC) - 0xFFFFD9A)]) + 0x17)) >=s 0, "P58 derived dst-ac0 @7015E2C3")
